INJCJC   Index,,,NFP TCH  Index,,,CPI CHNG Index,,,NAPMPMI  Index,,,CONSSENT Index,,,RSTAMOM Index,,,FDTR     Index,,
ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN
20220630,231,229.5,,,,,,,,,,,,,,,,,,
20220707,235,230,,,,,,,,,,,,,,,,,,
20220714,244,235,,,,,,,,,,,,,,,,,,
20220721,251,240,,,,,,,,,,,,,,,,,,
20220728,256,250,,,,,,,,,,,,,,,,,,
20220804,260,260,,,,,,,,,,,,,,,,,,
20220811,262,264.5,,,,,,,,,,,,,,,,,,
20220818,250,263.5,,,,,,,,,,,,,,,,,,
20220825,243,252,,,,,,,,,,,,,,,,,,
20220901,232,247.5,,,,,,,,,,,,,,,,,,
20220908,222,235,,,,,,,,,,,,,,,,,,
20220915,213,227,,,,,,,,,,,,,,,,,,
20220922,213,217,,,,,,,,,,,,,,,,,,
20220929,193,215,,,,,,,,,,,,,,,,,,
20221006,219,204,,,,,,,,,,,,,,,,,,
20221013,228,225,,,,,,,,,,,,,,,,,,
20221020,214,233,,,,,,,,,,,,,,,,,,
20221027,217,220,,,,,,,,,,,,,,,,,,
20221103,217,220,,,,,,,,,,,,,,,,,,
20221110,225,220,,,,,,,,,,,,,,,,,,
20221117,222,228,,,,,,,,,,,,,,,,,,
20221123,240,225,,,,,,,,,,,,,,,,,,
20221201,225,235,,,,,,,,,,,,,,,,,,
20221208,230,230,,,,,,,,,,,,,,,,,,
20221215,211,232,,,,,,,,,,,,,,,,,,
20221222,216,222,,,,,,,,,,,,,,,,,,
20221229,225,225,,,,,,,,,,,,,,,,,,
20230105,204,225,,,,,,,,,,,,,,,,,,
20230112,205,215,,,,,,,,,,,,,,,,,,
20230119,190,213.5,,,,,,,,,,,,,,,,,,
20230126,186,205,,,,,,,,,,,,,,,,,,
20230202,183,195,,,,,,,,,,,,,,,,,,
20230209,196,190,,,,,,,,,,,,,,,,,,
20230216,194,200,,,,,,,,,,,,,,,,,,
20230223,192,200,,,,,,,,,,,,,,,,,,
20230302,190,195,,,,,,,,,,,,,,,,,,
20230309,211,195,,,,,,,,,,,,,,,,,,
20230316,192,205,,,,,,,,,,,,,,,,,,
20230323,191,197,,,,,,,,,,,,,,,,,,
20230330,198,196,,,,,,,,,,,,,,,,,,
20230406,228,200,,,,,,,,,,,,,,,,,,
20230413,239,235,,,,,,,,,,,,,,,,,,
20230420,245,240,,,,,,,,,,,,,,,,,,
20230427,230,248,,,,,,,,,,,,,,,,,,
20230504,242,240,,,,,,,,,,,,,,,,,,
20230511,264,245,,,,,,,,,,,,,,,,,,
20230518,242,251.5,,,,,,,,,,,,,,,,,,
20230525,229,245,,,,,,,,,,,,,,,,,,
20230601,232,234.5,,,,,,,,,,,,,,,,,,
20230608,261,235,,,,,,,,,,,,,,,,,,
20230615,262,245,,,,,,,,,,,,,,,,,,
20230622,264,259,,,,,,,,,,,,,,,,,,
20230629,239,265,,,,,,,,,,,,,,,,,,
20230706,248,245,,,,,,,,,,,,,,,,,,
20230713,237,250,,,,,,,,,,,,,,,,,,
20230720,228,240,,,,,,,,,,,,,,,,,,
20230727,221,235,,,,,,,,,,,,,,,,,,
20230803,227,225,,,,,,,,,,,,,,,,,,
20230810,248,230,,,,,,,,,,,,,,,,,,
20230817,239,240,,,,,,,,,,,,,,,,,,
20230824,230,240,,,,,,,,,,,,,,,,,,
20230831,228,235,,,,,,,,,,,,,,,,,,
20230907,216,233,,,,,,,,,,,,,,,,,,
20230914,220,225,,,,,,,,,,,,,,,,,,
20230921,201,225,,,,,,,,,,,,,,,,,,
20230928,204,214.5,,,,,,,,,,,,,,,,,,
20231005,207,210,,,,,,,,,,,,,,,,,,
20231012,209,210,,,,,,,,,,,,,,,,,,
20231019,198,210,,,,,,,,,,,,,,,,,,
20231026,210,207,,,,,,,,,,,,,,,,,,
20231102,217,210,,,,,,,,,,,,,,,,,,
20231109,217,218,,,,,,,,,,,,,,,,,,
20231116,231,220,,,,,,,,,,,,,,,,,,
20231122,209,227,,,,,,,,,,,,,,,,,,
20231130,218,218,,,,,,,,,,,,,,,,,,
20231207,220,220,,,,,,,,,,,,,,,,,,
20231214,202,220,,,,,,,,,,,,,,,,,,
20231221,205,215,,,,,,,,,,,,,,,,,,
20231228,218,210,,,,,,,,,,,,,,,,,,
20240104,202,216,,,,,,,,,,,,,,,,,,
20240111,202,210,,,,,,,,,,,,,,,,,,
20240118,187,205,,,,,,,,,,,,,,,,,,
20240125,214,200,,,,,,,,,,,,,,,,,,
20240201,224,212,,,,,,,,,,,,,,,,,,
20240208,218,220,,,,,,,,,,,,,,,,,,
20240215,212,220,,,,,,,,,,,,,,,,,,
20240222,201,216,,,,,,,,,,,,,,,,,,
20240229,215,210,,,,,,,,,,,,,,,,,,
20240307,217,216,,,,,,,,,,,,,,,,,,
20240314,209,218,,,,,,,,,,,,,,,,,,
20240321,210,213,,,,,,,,,,,,,,,,,,
20240328,210,212,,,,,,,,,,,,,,,,,,
20240404,221,214,,,,,,,,,,,,,,,,,,
20240411,211,215,,,,,,,,,,,,,,,,,,
20240418,,215,,,,,,,,,,,,,,,,,,
